Country,2022 SDG Index Score,2022 SDG Index Rank,International Spillovers Score (0-100),International Spillovers Rank,Region,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Algeria,71.5,64,97.4,51,MENA,yellow,➚,red,➚,orange,→,yellow,↑,orange,→,orange,→,red,➚,red,→,orange,➚,green,,orange,↓,yellow,↑,orange,➚,orange,→,red,➚,orange,➚,yellow,↑
Kazakhstan,71.1,65,93.5,88,E. Europe & C. Asia,green,↑,red,→,orange,➚,orange,→,yellow,→,orange,➚,red,→,orange,➚,orange,➚,green,↑,orange,→,orange,↑,red,➚,grey,,red,→,red,➚,red,→
Armenia,71.1,66,95.9,67,E. Europe & C. Asia,yellow,➚,orange,→,orange,➚,orange,➚,orange,➚,orange,↑,orange,➚,red,➚,orange,➚,orange,↑,orange,➚,yellow,↑,yellow,→,grey,,red,→,orange,➚,orange,→
Maldives,71.0,67,94.8,77,East & South Asia,green,↑,red,➚,orange,➚,green,↑,red,→,yellow,↑,yellow,➚,orange,↑,orange,➚,yellow,,orange,↑,orange,↑,yellow,→,red,➚,orange,↓,orange,➚,orange,➚
Dominican Republic,70.8,68,93.7,84,LAC,green,↑,red,→,red,→,yellow,➚,yellow,➚,orange,➚,orange,➚,orange,→,orange,➚,red,➚,orange,→,yellow,↑,yellow,➚,orange,➚,orange,→,red,➚,orange,→
Tunisia,70.7,69,93.9,82,MENA,yellow,➚,red,→,orange,➚,orange,↑,orange,→,orange,↑,orange,➚,red,→,orange,➚,orange,,red,→,yellow,↑,yellow,↑,red,→,red,➚,red,➚,yellow,➚
Bhutan,70.5,70,93.4,89,East & South Asia,yellow,➚,red,➚,red,➚,orange,↑,red,➚,orange,➚,yellow,↑,red,↑,orange,➚,orange,,yellow,➚,green,↑,yellow,→,grey,,red,→,yellow,➚,orange,➚
Turkey,70.4,71,94.5,78,OECD,yellow,↑,orange,➚,red,➚,orange,➚,red,→,orange,➚,yellow,➚,red,→,red,↑,red,➚,orange,➚,red,↑,red,→,red,→,red,→,red,→,orange,↑
Malaysia,70.4,72,79.2,118,East & South Asia,green,↑,red,→,red,➚,yellow,➚,red,➚,orange,→,red,➚,orange,↑,yellow,➚,red,,yellow,➚,orange,➚,orange,→,red,→,red,→,orange,➚,orange,→
Barbados,70.3,73,87.9,106,LAC,yellow,→,orange,➚,orange,➚,yellow,➚,orange,➚,red,↑,yellow,↑,orange,➚,orange,→,grey,,grey,,orange,➚,yellow,➚,red,➚,orange,↓,red,→,grey,
Mexico,70.2,74,93.9,83,OECD,orange,➚,red,→,red,➚,orange,➚,yellow,↑,red,➚,orange,➚,red,→,red,→,red,➚,orange,➚,orange,↑,orange,➚,red,➚,red,↓,red,↓,orange,→
Colombia,70.1,75,96.2,65,OECD,orange,↓,orange,→,red,➚,orange,➚,orange,→,red,➚,yellow,➚,red,➚,red,➚,red,↓,orange,→,yellow,↑,orange,↑,red,→,red,→,red,→,orange,➚
Sri Lanka,70.0,76,93.6,86,East & South Asia,yellow,↑,red,➚,red,➚,green,↑,red,→,red,➚,red,➚,orange,→,red,➚,orange,,orange,➚,yellow,↑,green,↑,red,➚,red,→,red,→,red,→
Uzbekistan,69.9,77,98.4,36,E. Europe & C. Asia,orange,➚,orange,→,orange,➚,yellow,↑,yellow,➚,red,↑,red,→,red,→,orange,➚,orange,,red,➚,green,↑,yellow,➚,grey,,red,➚,red,➚,orange,→
Tajikistan,69.7,78,98.6,32,E. Europe & C. Asia,yellow,↑,red,→,red,➚,orange,,orange,→,orange,➚,yellow,↑,orange,➚,red,→,orange,,orange,➚,green,↑,green,↑,grey,,red,➚,red,→,orange,➚
El Salvador,69.6,79,89.3,104,LAC,yellow,↑,red,➚,red,➚,orange,→,yellow,→,orange,→,yellow,➚,red,→,red,→,orange,➚,orange,➚,yellow,↑,green,↑,red,→,orange,→,red,➚,yellow,➚
Jordan,69.4,80,92.0,92,MENA,green,↑,orange,→,red,➚,red,→,red,→,orange,↑,orange,➚,red,➚,orange,↑,orange,,orange,→,yellow,↑,yellow,↑,orange,➚,red,→,orange,➚,orange,→
Oman,69.2,81,85.7,109,MENA,grey,,red,→,orange,➚,yellow,↑,red,→,red,➚,red,➚,orange,↑,orange,➚,grey,,orange,➚,orange,↑,red,➚,red,→,orange,→,orange,➚,yellow,➚
Indonesia,69.2,82,97.6,48,East & South Asia,orange,➚,red,➚,red,➚,yellow,↑,orange,➚,orange,↑,orange,➚,orange,↑,orange,➚,orange,➚,red,→,yellow,↑,yellow,➚,red,→,red,→,red,➚,red,→
Jamaica,69.0,83,91.9,93,LAC,yellow,→,red,→,orange,➚,orange,↓,yellow,↑,orange,→,red,→,orange,↑,orange,→,red,,orange,→,yellow,↑,yellow,➚,red,➚,red,→,orange,→,yellow,➚
Morocco,69.0,84,97.4,50,MENA,yellow,➚,red,➚,red,➚,orange,➚,red,→,orange,↑,red,➚,red,→,orange,➚,orange,,orange,→,green,↑,green,↑,red,→,red,→,orange,➚,orange,→
United Arab Emirates,68.8,85,42.3,161,MENA,green,↑,red,→,yellow,➚,green,↑,orange,→,red,↑,orange,➚,red,➚,yellow,↑,yellow,,yellow,➚,red,→,red,➚,red,→,red,→,orange,➚,orange,→
Montenegro,68.8,86,74.6,122,E. Europe & C. Asia,yellow,↑,red,→,orange,➚,yellow,➚,orange,→,orange,↑,yellow,➚,orange,➚,orange,➚,orange,,red,→,red,→,yellow,→,red,➚,red,→,orange,→,grey,
